H.A,160,H.A,199,H.A,129,H.A,160,H.A,166,H.A,192,H.A,209,H.A,188,H.A,122,H.A,133,H.A,176,H.A,155,H.A,139,H.A,139,H.A,165,H.A,149,H.A,139,H.A,144,H.A,193,H.A,172,H.A,150,H.A,208,H.A,159,H.A,137,H.A,165,H.A,144,H.A,155,H.A,176,H.A,177,H.A,173,H.A,149,H.A,144,H.A,182,H.A,183,H.A,182,H.A,176,H.A,129,H.A,155,H.A,166,H.A,167,H.A,165,H.A,150,H.A,144,H.A,171,H.A,192,H.A,161,H.A,150,H.A,177,H.A,221,H.A,176,H.A,171,H.A,187,H.A,165,H.A,160,H.A,183,H.A,187,H.A,198,H.A,186,H.A,197,H.A,198,H.A,172,H.A,171,H.A,155,H.A,160,H.A,184
DD.A.m,538,DD.A.m,502,DD.A.m,365,DD.A.m,583,DD.A.m,313,DD.A.m,549,DD.A.m,511,DD.A.M,455,DD.A.m,313,DD.A.m,434,DD.A.m,306,DD.A.m,293,DD.A.m,262,DD.A.m,279,DD.A.m,356,DD.A.m,297,DD.A.m,277,DD.A.m,330,DD.A.m,369,DD.A.m,266,DD.A.m,254,DD.A.m,399,DD.A.m,252,DD.A.m,261,DD.A.m,261,DD.A.m,253,DD.A.m,252,DD.A.m,321,DD.A.m,308,DD.A.m,724,DD.A.m,333,DD.A.m,313,DD.A.m,282,DD.A.m,313,DD.A.m,327,DD.A.m,335,DD.A.m,489,DD.A.m,324,DD.A.m,326,DD.A.m,295,DD.A.m,285,DD.A.m,293,DD.A.m,248,DD.A.m,271,DD.A.m,361,DD.A.m,293,DD.A.m,273,DD.A.m,286,DD.A.m,397,DD.A.m,275,DD.A.m,279,DD.A.m,351,DD.A.m,299,DD.A.m,309,DD.A.m,298,DD.A.m,395,DD.A.m,478,DD.A.m,400,DD.A.m,340,DD.A.m,363,DD.A.m,280,DD.A.m,385,DD.A.m,270,DD.A.m,533,DD.A.m,721
UD.A.m,378,UD.A.m,303,UD.A.m,236,UD.A.m,423,UD.A.m,147,UD.A.m,357,UD.A.m,302,UD.A.M,267,UD.A.m,191,UD.A.m,301,UD.A.m,130,UD.A.m,138,UD.A.m,123,UD.A.m,140,UD.A.m,191,UD.A.m,148,UD.A.m,138,UD.A.m,186,UD.A.m,176,UD.A.m,94,UD.A.m,104,UD.A.m,191,UD.A.m,93,UD.A.m,124,UD.A.m,96,UD.A.m,109,UD.A.m,97,UD.A.m,145,UD.A.m,131,UD.A.m,551,UD.A.m,184,UD.A.m,169,UD.A.m,100,UD.A.m,130,UD.A.m,145,UD.A.m,159,UD.A.m,360,UD.A.m,169,UD.A.m,160,UD.A.m,128,UD.A.m,120,UD.A.m,143,UD.A.m,104,UD.A.m,100,UD.A.m,169,UD.A.m,132,UD.A.m,123,UD.A.m,109,UD.A.m,176,UD.A.m,99,UD.A.m,108,UD.A.m,164,UD.A.m,134,UD.A.m,149,UD.A.m,115,UD.A.m,208,UD.A.m,280,UD.A.m,214,UD.A.m,143,UD.A.m,165,UD.A.m,108,UD.A.m,214,UD.A.m,115,UD.A.m,373,UD.A.m,537
H.m,128,H.m,96,H.m,107,H.m,102,H.m,101,H.m,101,H.m,102,H.M,150,H.m,91,H.m,111,H.m,108,H.m,97,H.m,113,H.m,102,H.m,96,H.m,106,H.m,80,H.m,97,H.m,105,H.m,107,H.m,117,H.m,96,H.m,113,H.m,107,H.m,96,H.m,101,H.m,112,H.m,107,H.m,102,H.m,102,H.m,112,H.m,123,H.m,117,H.m,112,H.m,118,H.m,101,H.m,107,H.m,113,H.m,107,H.m,106,H.m,97,H.m,96,H.m,91,H.m,103,H.m,100,H.m,107,H.m,101,H.m,107,H.m,100,H.m,152,H.m,117,H.m,107,H.m,112,H.m,106,H.m,113,H.m,107,H.m,117,H.m,107,H.m,117,H.m,97,H.m,97,H.m,95,H.m,97,H.m,74,H.m,91
DD.m.Backspace,689,DD.m.1,1496,DD.m.1,251,DD.m.1,577,DD.m.R,863,DD.m.1,369,DD.m.1,998,DD.M.Backspace,839,DD.m.1,229,DD.m.1,337,DD.m.1,366,DD.m.1,640,DD.m.1,450,DD.m.1,217,DD.m.1,259,DD.m.1,4118,DD.m.1,312,DD.m.1,214,DD.m.1,450,DD.m.1,171,DD.m.1,214,DD.m.1,374,DD.m.1,237,DD.m.1,237,DD.m.1,1050,DD.m.1,406,DD.m.1,233,DD.m.1,784,DD.m.1,387,DD.m.1,372,DD.m.1,436,DD.m.1,318,DD.m.1,428,DD.m.1,294,DD.m.1,224,DD.m.1,366,DD.m.1,264,DD.m.1,256,DD.m.1,244,DD.m.1,286,DD.m.1,181,DD.m.m,156,DD.m.1,267,DD.m.1,201,DD.m.1,171,DD.m.1,180,DD.m.1,213,DD.m.1,172,DD.m.1,635,DD.m.1,184,DD.m.1,225,DD.m.1,259,DD.m.1,378,DD.m.1,213,DD.m.1,226,DD.m.1,428,DD.m.1,351,DD.m.1,247,DD.m.1,254,DD.m.m,182,DD.m.1,265,DD.m.1,263,DD.m.1,194,DD.m.1,387,DD.m.1,187
UD.m.Backspace,561,UD.m.1,1400,UD.m.1,144,UD.m.1,475,UD.m.R,762,UD.m.1,268,UD.m.1,896,UD.M.Backspace,689,UD.m.1,138,UD.m.1,226,UD.m.1,258,UD.m.1,543,UD.m.1,337,UD.m.1,115,UD.m.1,163,UD.m.1,4012,UD.m.1,232,UD.m.1,117,UD.m.1,345,UD.m.1,64,UD.m.1,97,UD.m.1,278,UD.m.1,124,UD.m.1,130,UD.m.1,954,UD.m.1,305,UD.m.1,121,UD.m.1,677,UD.m.1,285,UD.m.1,270,UD.m.1,324,UD.m.1,195,UD.m.1,311,UD.m.1,182,UD.m.1,106,UD.m.1,265,UD.m.1,157,UD.m.1,143,UD.m.1,137,UD.m.1,180,UD.m.1,84,UD.m.m,60,UD.m.1,176,UD.m.1,98,UD.m.1,71,UD.m.1,73,UD.m.1,112,UD.m.1,65,UD.m.1,535,UD.m.1,32,UD.m.1,108,UD.m.1,152,UD.m.1,266,UD.m.1,107,UD.m.1,113,UD.m.1,321,UD.m.1,234,UD.m.1,140,UD.m.1,137,UD.m.m,85,UD.m.1,168,UD.m.1,168,UD.m.1,97,UD.m.1,313,UD.m.1,96
H.Backspace,81,H.1,79,H.1,74,H.1,85,H.R,122,H.1,91,H.1,85,H.Backspace,86,H.1,105,H.1,108,H.1,107,H.1,102,H.1,112,H.1,102,H.1,103,H.1,96,H.1,112,H.1,107,H.1,107,H.1,107,H.1,106,H.1,90,H.1,107,H.1,102,H.1,97,H.1,112,H.1,101,H.1,112,H.1,102,H.1,117,H.1,124,H.1,107,H.1,107,H.1,117,H.1,101,H.1,112,H.1,90,H.1,113,H.1,102,H.1,112,H.1,101,H.m,92,H.1,107,H.1,81,H.1,106,H.1,112,H.1,112,H.1,112,H.1,86,H.1,106,H.1,108,H.1,107,H.1,95,H.1,107,H.1,123,H.1,101,H.1,101,H.1,118,H.1,97,H.m,95,H.1,107,H.1,118,H.1,118,H.1,91,H.1,117
DD.Backspace.m,550,DD.1.1,146,DD.1.1,137,DD.1.1,161,DD.R.o,358,DD.1.1,154,DD.1.1,849,DD.Backspace.m,285,DD.1.1,165,DD.1.1,176,DD.1.1,164,DD.1.1,201,DD.1.1,192,DD.1.1,172,DD.1.1,168,DD.1.1,164,DD.1.1,174,DD.1.1,175,DD.1.1,173,DD.1.1,178,DD.1.1,169,DD.1.1,156,DD.1.1,171,DD.1.1,159,DD.1.1,164,DD.1.1,190,DD.1.1,173,DD.1.1,179,DD.1.1,171,DD.1.1,173,DD.1.1,180,DD.1.1,185,DD.1.1,164,DD.1.1,185,DD.1.1,173,DD.1.1,181,DD.1.1,169,DD.1.1,184,DD.1.1,168,DD.1.1,158,DD.1.1,172,DD.m.Backspace,1528,DD.1.1,153,DD.1.1,142,DD.1.1,156,DD.1.1,166,DD.1.1,171,DD.1.1,176,DD.1.1,163,DD.1.1,166,DD.1.1,172,DD.1.1,177,DD.1.1,161,DD.1.1,167,DD.1.1,513,DD.1.1,168,DD.1.1,156,DD.1.1,171,DD.1.1,199,DD.m.Backspace,683,DD.1.1,201,DD.1.1,180,DD.1.1,167,DD.1.1,145,DD.1.1,175
UD.Backspace.m,469,UD.1.1,67,UD.1.1,63,UD.1.1,76,UD.R.o,236,UD.1.1,63,UD.1.1,764,UD.Backspace.m,199,UD.1.1,60,UD.1.1,68,UD.1.1,57,UD.1.1,99,UD.1.1,80,UD.1.1,70,UD.1.1,65,UD.1.1,68,UD.1.1,62,UD.1.1,68,UD.1.1,66,UD.1.1,71,UD.1.1,63,UD.1.1,66,UD.1.1,64,UD.1.1,57,UD.1.1,67,UD.1.1,78,UD.1.1,72,UD.1.1,67,UD.1.1,69,UD.1.1,56,UD.1.1,56,UD.1.1,78,UD.1.1,57,UD.1.1,68,UD.1.1,72,UD.1.1,69,UD.1.1,79,UD.1.1,71,UD.1.1,66,UD.1.1,46,UD.1.1,71,UD.m.Backspace,1436,UD.1.1,46,UD.1.1,61,UD.1.1,50,UD.1.1,54,UD.1.1,59,UD.1.1,64,UD.1.1,77,UD.1.1,60,UD.1.1,64,UD.1.1,70,UD.1.1,66,UD.1.1,60,UD.1.1,390,UD.1.1,67,UD.1.1,55,UD.1.1,53,UD.1.1,102,UD.m.Backspace,588,UD.1.1,94,UD.1.1,62,UD.1.1,49,UD.1.1,54,UD.1.1,58
H.m,123,H.1,91,H.1,74,H.1,52,H.o,91,H.1,80,H.1,95,H.m,112,H.1,97,H.1,101,H.1,96,H.1,64,H.1,86,H.1,87,H.1,96,H.1,107,H.1,91,H.1,91,H.1,95,H.1,113,H.1,97,H.1,96,H.1,96,H.1,75,H.1,102,H.1,59,H.1,90,H.1,103,H.1,102,H.1,101,H.1,91,H.1,123,H.1,107,H.1,86,H.1,91,H.1,97,H.1,102,H.1,101,H.1,102,H.1,107,H.1,101,H.Backspace,80,H.1,107,H.1,122,H.1,96,H.1,106,H.1,86,H.1,102,H.1,108,H.1,91,H.1,101,H.1,95,H.1,113,H.1,90,H.1,123,H.1,102,H.1,107,H.1,91,H.1,119,H.Backspace,117,H.1,113,H.1,101,H.1,108,H.1,107,H.1,107
