H.A,155,H.A,155,H.A,139,H.A,144,H.A,129,H.A,150,H.A,155,H.A,134,H.A,139,H.A,118,H.A,129,H.A,150,H.A,140,H.A,165,H.A,155,H.A,124,H.A,161,H.A,135,H.A,128,H.A,149,H.A,150,H.A,153,H.A,150,H.A,145,H.A,134,H.A,140,H.A,139,H.A,139,H.A,160,H.A,150,H.A,177,H.A,161,H.A,187,H.A,123,H.A,133,H.A,155,H.A,171,H.A,156,H.A,156,H.A,146,H.A,156,H.A,187,H.A,176,H.A,171,H.A,166,H.A,171,H.A,150,H.A,162,H.A,166,H.A,167,H.A,172,H.A,161,H.A,160,H.A,166,H.A,154,H.A,171,H.A,182,H.A,166,H.A,171,H.A,172,H.A,177,H.A,176,H.A,192,H.A,170,H.A,161,H.A,177,H.A,209,H.A,176,H.A,166,H.A,182,H.A,176,H.A,171,H.A,187,H.A,188,H.A,194,H.A,187,H.A,165,H.A,160
DD.A.m,290,DD.A.m,446,DD.A.m,442,DD.A.m,266,DD.A.m,261,DD.A.m,289,DD.A.m,350,DD.A.m,210,DD.A.m,199,DD.A.m,228,DD.A.m,196,DD.A.m,264,DD.A.m,222,DD.A.m,231,DD.A.m,209,DD.A.m,250,DD.A.m,176,DD.A.m,162,DD.A.m,168,DD.A.m,247,DD.A.m,229,DD.A.m,224,DD.A.m,184,DD.A.m,215,DD.A.m,145,DD.A.m,239,DD.A.m,210,DD.A.m,175,DD.A.m,199,DD.A.m,176,DD.A.m,224,DD.A.m,177,DD.A.m,296,DD.A.m,181,DD.A.m,217,DD.A.m,230,DD.A.m,209,DD.A.m,185,DD.A.m,266,DD.A.m,247,DD.A.m,257,DD.A.m,424,DD.A.m,389,DD.A.m,314,DD.A.m,279,DD.A.m,287,DD.A.m,271,DD.A.m,272,DD.A.m,271,DD.A.m,254,DD.A.m,277,DD.A.m,225,DD.A.m,247,DD.A.m,196,DD.A.m,223,DD.A.m,279,DD.A.m,234,DD.A.m,200,DD.A.m,279,DD.A.m,265,DD.A.m,293,DD.A.m,307,DD.A.m,282,DD.A.m,221,DD.A.m,240,DD.A.m,256,DD.A.m,297,DD.A.m,229,DD.A.m,257,DD.A.m,918,DD.A.m,261,DD.A.m,291,DD.A.m,336,DD.A.m,229,DD.A.m,280,DD.A.m,1554,DD.A.m,248,DD.A.m,287
UD.A.m,135,UD.A.m,291,UD.A.m,303,UD.A.m,122,UD.A.m,132,UD.A.m,139,UD.A.m,195,UD.A.m,76,UD.A.m,60,UD.A.m,110,UD.A.m,67,UD.A.m,114,UD.A.m,82,UD.A.m,66,UD.A.m,54,UD.A.m,126,UD.A.m,15,UD.A.m,27,UD.A.m,40,UD.A.m,98,UD.A.m,79,UD.A.m,71,UD.A.m,34,UD.A.m,70,UD.A.m,11,UD.A.m,99,UD.A.m,71,UD.A.m,36,UD.A.m,39,UD.A.m,26,UD.A.m,47,UD.A.m,16,UD.A.m,109,UD.A.m,58,UD.A.m,84,UD.A.m,75,UD.A.m,38,UD.A.m,29,UD.A.m,110,UD.A.m,101,UD.A.m,101,UD.A.m,237,UD.A.m,213,UD.A.m,143,UD.A.m,113,UD.A.m,116,UD.A.m,121,UD.A.m,110,UD.A.m,105,UD.A.m,87,UD.A.m,105,UD.A.m,64,UD.A.m,87,UD.A.m,30,UD.A.m,69,UD.A.m,108,UD.A.m,52,UD.A.m,34,UD.A.m,108,UD.A.m,93,UD.A.m,116,UD.A.m,131,UD.A.m,90,UD.A.m,51,UD.A.m,79,UD.A.m,79,UD.A.m,88,UD.A.m,53,UD.A.m,91,UD.A.m,736,UD.A.m,85,UD.A.m,120,UD.A.m,149,UD.A.m,41,UD.A.m,86,UD.A.m,1367,UD.A.m,83,UD.A.m,127
H.m,112,H.m,128,H.m,87,H.m,139,H.m,146,H.m,150,H.m,134,H.m,144,H.m,134,H.m,128,H.m,123,H.m,140,H.m,150,H.m,144,H.m,140,H.m,155,H.m,157,H.m,140,H.m,112,H.m,129,H.m,133,H.m,135,H.m,139,H.m,128,H.m,128,H.m,139,H.m,149,H.m,123,H.m,151,H.m,145,H.m,138,H.m,145,H.m,144,H.m,144,H.m,155,H.m,160,H.m,155,H.m,139,H.m,150,H.m,156,H.m,162,H.m,156,H.m,151,H.m,161,H.m,134,H.m,177,H.m,132,H.m,150,H.m,139,H.m,139,H.m,145,H.m,160,H.m,155,H.m,140,H.m,151,H.m,150,H.m,145,H.m,140,H.m,134,H.m,145,H.m,155,H.m,160,H.m,156,H.m,128,H.m,150,H.m,140,H.m,150,H.m,161,H.m,139,H.m,118,H.m,150,H.m,149,H.m,156,H.m,144,H.m,160,H.m,113,H.m,145,H.m,130
DD.m.1,1303,DD.m.1,841,DD.m.1,1540,DD.m.1,1454,DD.m.1,631,DD.m.1,1429,DD.m.1,413,DD.m.1,676,DD.m.1,666,DD.m.1,666,DD.m.1,777,DD.m.1,506,DD.m.1,342,DD.m.1,542,DD.m.1,579,DD.m.1,1361,DD.m.1,419,DD.m.1,629,DD.m.1,491,DD.m.1,1102,DD.m.1,928,DD.m.1,1100,DD.m.1,603,DD.m.1,1034,DD.m.1,708,DD.m.1,408,DD.m.1,363,DD.m.1,358,DD.m.1,399,DD.m.1,1387,DD.m.1,445,DD.m.1,1487,DD.m.1,430,DD.m.1,349,DD.m.1,263,DD.m.1,352,DD.m.1,956,DD.m.1,451,DD.m.1,537,DD.m.1,414,DD.m.1,687,DD.m.1,377,DD.m.1,349,DD.m.1,594,DD.m.1,268,DD.m.1,255,DD.m.1,312,DD.m.1,307,DD.m.1,334,DD.m.1,626,DD.m.1,366,DD.m.1,285,DD.m.1,219,DD.m.1,976,DD.m.1,238,DD.m.1,537,DD.m.1,308,DD.m.1,399,DD.m.1,271,DD.m.1,302,DD.m.1,361,DD.m.1,522,DD.m.1,1147,DD.m.1,1056,DD.m.1,254,DD.m.1,264,DD.m.1,1549,DD.m.1,920,DD.m.1,261,DD.m.1,1143,DD.m.1,241,DD.m.1,270,DD.m.1,328,DD.m.1,513,DD.m.1,326,DD.m.1,1158,DD.m.1,515,DD.m.1,251
UD.m.1,1191,UD.m.1,713,UD.m.1,1453,UD.m.1,1315,UD.m.1,485,UD.m.1,1279,UD.m.1,279,UD.m.1,532,UD.m.1,532,UD.m.1,538,UD.m.1,654,UD.m.1,366,UD.m.1,192,UD.m.1,398,UD.m.1,439,UD.m.1,1206,UD.m.1,262,UD.m.1,489,UD.m.1,379,UD.m.1,973,UD.m.1,795,UD.m.1,965,UD.m.1,464,UD.m.1,906,UD.m.1,580,UD.m.1,269,UD.m.1,214,UD.m.1,235,UD.m.1,248,UD.m.1,1242,UD.m.1,307,UD.m.1,1342,UD.m.1,286,UD.m.1,205,UD.m.1,108,UD.m.1,192,UD.m.1,801,UD.m.1,312,UD.m.1,387,UD.m.1,258,UD.m.1,525,UD.m.1,221,UD.m.1,198,UD.m.1,433,UD.m.1,134,UD.m.1,78,UD.m.1,180,UD.m.1,157,UD.m.1,195,UD.m.1,487,UD.m.1,221,UD.m.1,125,UD.m.1,64,UD.m.1,836,UD.m.1,87,UD.m.1,387,UD.m.1,163,UD.m.1,259,UD.m.1,137,UD.m.1,157,UD.m.1,206,UD.m.1,362,UD.m.1,991,UD.m.1,928,UD.m.1,104,UD.m.1,124,UD.m.1,1399,UD.m.1,759,UD.m.1,122,UD.m.1,1025,UD.m.1,91,UD.m.1,121,UD.m.1,172,UD.m.1,369,UD.m.1,166,UD.m.1,1045,UD.m.1,370,UD.m.1,121
H.1,91,H.1,86,H.1,97,H.1,86,H.1,74,H.1,139,H.1,91,H.1,86,H.1,91,H.1,98,H.1,80,H.1,91,H.1,97,H.1,59,H.1,96,H.1,75,H.1,92,H.1,107,H.1,97,H.1,91,H.1,96,H.1,139,H.1,97,H.1,91,H.1,102,H.1,86,H.1,75,H.1,86,H.1,102,H.1,91,H.1,85,H.1,129,H.1,97,H.1,102,H.1,92,H.1,118,H.1,91,H.1,129,H.1,118,H.1,91,H.1,118,H.1,101,H.1,113,H.1,112,H.1,102,H.1,81,H.1,108,H.1,101,H.1,86,H.1,102,H.1,70,H.1,90,H.1,101,H.1,90,H.1,91,H.1,91,H.1,96,H.1,112,H.1,96,H.1,102,H.1,91,H.1,96,H.1,107,H.1,107,H.1,113,H.1,107,H.1,107,H.1,69,H.1,86,H.1,108,H.1,103,H.1,97,H.1,107,H.1,103,H.1,101,H.1,113,H.1,102,H.1,91
DD.1.1,178,DD.1.1,146,DD.1.1,155,DD.1.1,156,DD.1.1,147,DD.1.1,188,DD.1.1,159,DD.1.1,147,DD.1.1,153,DD.1.1,148,DD.1.1,152,DD.1.1,179,DD.1.1,150,DD.1.1,140,DD.1.1,162,DD.1.1,152,DD.1.1,164,DD.1.1,173,DD.1.1,166,DD.1.1,157,DD.1.1,167,DD.1.1,245,DD.1.1,169,DD.1.1,157,DD.1.1,179,DD.1.1,159,DD.1.1,159,DD.1.1,166,DD.1.1,181,DD.1.1,168,DD.1.1,175,DD.1.1,178,DD.1.1,172,DD.1.1,195,DD.1.1,167,DD.1.1,202,DD.1.1,171,DD.1.1,194,DD.1.1,176,DD.1.1,172,DD.1.1,191,DD.1.1,172,DD.1.1,199,DD.1.1,182,DD.1.1,177,DD.1.1,178,DD.1.1,186,DD.1.1,187,DD.1.1,164,DD.1.1,171,DD.1.1,149,DD.1.1,168,DD.1.1,178,DD.1.1,172,DD.1.1,185,DD.1.1,166,DD.1.1,170,DD.1.1,195,DD.1.1,194,DD.1.1,187,DD.1.1,170,DD.1.1,182,DD.1.1,187,DD.1.1,181,DD.1.1,184,DD.1.1,178,DD.1.1,184,DD.1.1,157,DD.1.1,158,DD.1.1,182,DD.1.1,173,DD.1.1,190,DD.1.1,194,DD.1.1,182,DD.1.1,166,DD.1.1,179,DD.1.1,190,DD.1.1,182
UD.1.1,87,UD.1.1,60,UD.1.1,58,UD.1.1,70,UD.1.1,73,UD.1.1,49,UD.1.1,68,UD.1.1,61,UD.1.1,62,UD.1.1,50,UD.1.1,72,UD.1.1,88,UD.1.1,53,UD.1.1,81,UD.1.1,66,UD.1.1,77,UD.1.1,72,UD.1.1,66,UD.1.1,69,UD.1.1,66,UD.1.1,71,UD.1.1,106,UD.1.1,72,UD.1.1,66,UD.1.1,77,UD.1.1,73,UD.1.1,84,UD.1.1,80,UD.1.1,79,UD.1.1,77,UD.1.1,90,UD.1.1,49,UD.1.1,75,UD.1.1,93,UD.1.1,75,UD.1.1,84,UD.1.1,80,UD.1.1,65,UD.1.1,58,UD.1.1,81,UD.1.1,73,UD.1.1,71,UD.1.1,86,UD.1.1,70,UD.1.1,75,UD.1.1,97,UD.1.1,78,UD.1.1,86,UD.1.1,78,UD.1.1,69,UD.1.1,79,UD.1.1,78,UD.1.1,77,UD.1.1,82,UD.1.1,94,UD.1.1,75,UD.1.1,74,UD.1.1,83,UD.1.1,98,UD.1.1,85,UD.1.1,79,UD.1.1,86,UD.1.1,80,UD.1.1,74,UD.1.1,71,UD.1.1,71,UD.1.1,77,UD.1.1,88,UD.1.1,72,UD.1.1,74,UD.1.1,70,UD.1.1,93,UD.1.1,87,UD.1.1,79,UD.1.1,65,UD.1.1,66,UD.1.1,88,UD.1.1,91
H.1,102,H.1,123,H.1,123,H.1,113,H.1,133,H.1,155,H.1,139,H.1,112,H.1,134,H.1,129,H.1,123,H.1,108,H.1,135,H.1,133,H.1,145,H.1,118,H.1,145,H.1,138,H.1,133,H.1,129,H.1,118,H.1,203,H.1,113,H.1,107,H.1,107,H.1,112,H.1,161,H.1,117,H.1,129,H.1,128,H.1,113,H.1,150,H.1,139,H.1,113,H.1,140,H.1,129,H.1,155,H.1,150,H.1,155,H.1,129,H.1,118,H.1,123,H.1,128,H.1,123,H.1,102,H.1,130,H.1,113,H.1,107,H.1,102,H.1,145,H.1,118,H.1,156,H.1,123,H.1,124,H.1,112,H.1,123,H.1,124,H.1,144,H.1,106,H.1,101,H.1,124,H.1,139,H.1,118,H.1,135,H.1,134,H.1,123,H.1,134,H.1,107,H.1,123,H.1,118,H.1,118,H.1,106,H.1,129,H.1,160,H.1,140,H.1,122,H.1,101,H.1,102
DD.1.5,366,DD.1.5,236,DD.1.5,251,DD.1.5,853,DD.1.5,357,DD.1.5,1319,DD.1.5,201,DD.1.5,284,DD.1.5,345,DD.1.5,213,DD.1.5,314,DD.1.5,1011,DD.1.5,227,DD.1.5,235,DD.1.5,264,DD.1.5,177,DD.1.5,749,DD.1.5,190,DD.1.5,884,DD.1.5,194,DD.1.5,191,DD.1.5,505,DD.1.5,215,DD.1.5,896,DD.1.5,191,DD.1.5,166,DD.1.5,194,DD.1.5,228,DD.1.5,290,DD.1.5,165,DD.1.5,183,DD.1.5,156,DD.1.5,203,DD.1.5,177,DD.1.5,221,DD.1.5,184,DD.1.5,191,DD.1.5,203,DD.1.5,1301,DD.1.5,153,DD.1.5,123,DD.1.5,175,DD.1.5,210,DD.1.5,217,DD.1.5,181,DD.1.5,218,DD.1.5,205,DD.1.5,191,DD.1.5,161,DD.1.5,199,DD.1.5,183,DD.1.5,560,DD.1.5,188,DD.1.5,608,DD.1.5,220,DD.1.5,161,DD.1.5,226,DD.1.5,198,DD.1.5,190,DD.1.5,157,DD.1.5,224,DD.1.5,269,DD.1.5,190,DD.1.5,227,DD.1.5,203,DD.1.5,179,DD.1.5,237,DD.1.5,169,DD.1.5,184,DD.1.5,186,DD.1.5,178,DD.1.5,210,DD.1.5,284,DD.1.5,246,DD.1.5,178,DD.1.5,185,DD.1.5,181,DD.1.5,186
UD.1.5,264,UD.1.5,113,UD.1.5,128,UD.1.5,740,UD.1.5,224,UD.1.5,1164,UD.1.5,62,UD.1.5,172,UD.1.5,211,UD.1.5,84,UD.1.5,191,UD.1.5,903,UD.1.5,92,UD.1.5,102,UD.1.5,119,UD.1.5,59,UD.1.5,604,UD.1.5,52,UD.1.5,751,UD.1.5,65,UD.1.5,73,UD.1.5,302,UD.1.5,102,UD.1.5,789,UD.1.5,84,UD.1.5,54,UD.1.5,33,UD.1.5,111,UD.1.5,161,UD.1.5,37,UD.1.5,70,UD.1.5,6,UD.1.5,64,UD.1.5,64,UD.1.5,81,UD.1.5,55,UD.1.5,36,UD.1.5,53,UD.1.5,1146,UD.1.5,24,UD.1.5,5,UD.1.5,52,UD.1.5,82,UD.1.5,94,UD.1.5,79,UD.1.5,88,UD.1.5,92,UD.1.5,84,UD.1.5,59,UD.1.5,54,UD.1.5,65,UD.1.5,404,UD.1.5,65,UD.1.5,484,UD.1.5,108,UD.1.5,38,UD.1.5,102,UD.1.5,54,UD.1.5,84,UD.1.5,56,UD.1.5,100,UD.1.5,130,UD.1.5,72,UD.1.5,92,UD.1.5,69,UD.1.5,56,UD.1.5,103,UD.1.5,62,UD.1.5,61,UD.1.5,68,UD.1.5,60,UD.1.5,104,UD.1.5,155,UD.1.5,86,UD.1.5,38,UD.1.5,63,UD.1.5,80,UD.1.5,84
H.5,102,H.5,91,H.5,107,H.5,107,H.5,106,H.5,133,H.5,128,H.5,103,H.5,108,H.5,120,H.5,91,H.5,107,H.5,124,H.5,134,H.5,124,H.5,119,H.5,113,H.5,123,H.5,106,H.5,117,H.5,122,H.5,155,H.5,102,H.5,117,H.5,92,H.5,108,H.5,127,H.5,107,H.5,103,H.5,123,H.5,102,H.5,149,H.5,124,H.5,108,H.5,118,H.5,107,H.5,123,H.5,112,H.5,134,H.5,118,H.5,129,H.5,128,H.5,135,H.5,115,H.5,134,H.5,133,H.5,112,H.5,129,H.5,119,H.5,128,H.5,118,H.5,118,H.5,133,H.5,107,H.5,113,H.5,123,H.5,117,H.5,133,H.5,135,H.5,134,H.5,118,H.5,155,H.5,128,H.5,108,H.5,123,H.5,134,H.5,129,H.5,128,H.5,124,H.5,133,H.5,128,H.5,122,H.5,144,H.5,123,H.5,129,H.5,102,H.5,107,H.5,118
