H.A,144,H.A,167,H.A,128,H.A,134,H.A,160,H.A,138,H.A,139,H.A,154,H.A,159,H.A,149,H.A,166,H.A,154,H.A,161,H.A,134,H.A,134,H.A,140,H.A,134,H.A,161,H.A,149,H.A,133,H.A,135,H.A,166,H.A,139,H.A,134,H.A,140,H.A,129,H.A,145,H.A,161,H.A,128,H.A,134,H.A,128,H.A,170,H.A,155,H.A,145,H.A,139,H.A,152,H.A,156,H.A,133,H.A,156,H.A,133,H.A,166,H.A,156,H.A,154,H.A,155,H.A,149,H.A,139,H.A,133,H.A,156,H.A,144,H.A,135,H.A,124,H.A,123,H.A,124,H.A,134,H.A,123,H.A,150,H.A,144,H.A,133,H.A,119,H.A,133,H.A,145,H.A,101,H.A,150,H.A,133,H.A,133
DD.A.m,193,DD.A.m,780,DD.A.m,208,DD.A.m,206,DD.A.m,364,DD.A.m,254,DD.A.m,208,DD.A.m,263,DD.A.m,309,DD.A.m,177,DD.A.m,311,DD.A.m,202,DD.A.m,232,DD.A.m,267,DD.A.m,217,DD.A.m,196,DD.A.m,239,DD.A.m,250,DD.A.m,197,DD.A.m,145,DD.A.m,158,DD.A.m,205,DD.A.m,145,DD.A.m,201,DD.A.m,172,DD.A.m,228,DD.A.m,222,DD.A.m,172,DD.A.m,133,DD.A.m,140,DD.A.m,157,DD.A.m,181,DD.A.m,203,DD.A.m,199,DD.A.m,177,DD.A.m,155,DD.A.m,198,DD.A.m,178,DD.A.m,172,DD.A.m,150,DD.A.m,213,DD.A.m,228,DD.A.m,188,DD.A.m,182,DD.A.m,205,DD.A.m,462,DD.A.m,144,DD.A.m,183,DD.A.m,174,DD.A.m,158,DD.A.m,166,DD.A.m,208,DD.A.m,166,DD.A.m,193,DD.A.m,190,DD.A.m,187,DD.A.m,216,DD.A.m,138,DD.A.m,123,DD.A.m,139,DD.A.M,177,DD.A.m,199,DD.A.m,206,DD.A.m,290,DD.A.m,271
UD.A.m,49,UD.A.m,613,UD.A.m,80,UD.A.m,72,UD.A.m,204,UD.A.m,116,UD.A.m,69,UD.A.m,109,UD.A.m,150,UD.A.m,28,UD.A.m,145,UD.A.m,48,UD.A.m,71,UD.A.m,133,UD.A.m,83,UD.A.m,56,UD.A.m,105,UD.A.m,89,UD.A.m,48,UD.A.m,12,UD.A.m,23,UD.A.m,39,UD.A.m,6,UD.A.m,67,UD.A.m,32,UD.A.m,99,UD.A.m,77,UD.A.m,11,UD.A.m,5,UD.A.m,6,UD.A.m,29,UD.A.m,11,UD.A.m,48,UD.A.m,54,UD.A.m,38,UD.A.m,3,UD.A.m,42,UD.A.m,45,UD.A.m,16,UD.A.m,17,UD.A.m,47,UD.A.m,72,UD.A.m,34,UD.A.m,27,UD.A.m,56,UD.A.m,323,UD.A.m,11,UD.A.m,27,UD.A.m,30,UD.A.m,23,UD.A.m,42,UD.A.m,85,UD.A.m,42,UD.A.m,59,UD.A.m,67,UD.A.m,37,UD.A.m,72,UD.A.m,5,UD.A.m,4,UD.A.m,6,UD.A.M,32,UD.A.m,98,UD.A.m,56,UD.A.m,157,UD.A.m,138
H.m,128,H.m,96,H.m,122,H.m,118,H.m,102,H.m,129,H.m,112,H.m,90,H.m,107,H.m,128,H.m,144,H.m,112,H.m,117,H.m,144,H.m,114,H.m,117,H.m,139,H.m,118,H.m,139,H.m,101,H.m,122,H.m,119,H.m,144,H.m,118,H.m,139,H.m,176,H.m,118,H.m,144,H.m,151,H.m,139,H.m,117,H.m,140,H.m,155,H.m,133,H.m,129,H.m,129,H.m,129,H.m,124,H.m,107,H.m,133,H.m,123,H.m,138,H.m,123,H.m,124,H.m,138,H.m,102,H.m,134,H.m,129,H.m,134,H.m,139,H.m,143,H.m,143,H.m,160,H.m,160,H.m,134,H.m,142,H.m,150,H.m,135,H.m,134,H.m,150,H.M,124,H.m,134,H.m,108,H.m,156,H.m,145
DD.m.1,220,DD.m.1,677,DD.m.1,207,DD.m.1,361,DD.m.1,313,DD.m.1,188,DD.m.1,183,DD.m.m,129,DD.m.1,397,DD.m.1,401,DD.m.1,303,DD.m.1,174,DD.m.1,185,DD.m.1,188,DD.m.1,188,DD.m.1,194,DD.m.1,274,DD.m.1,263,DD.m.1,203,DD.m.1,178,DD.m.1,183,DD.m.1,191,DD.m.1,251,DD.m.1,205,DD.m.1,185,DD.m.1,473,DD.m.1,155,DD.m.1,223,DD.m.1,188,DD.m.1,187,DD.m.1,178,DD.m.1,178,DD.m.1,188,DD.m.1,208,DD.m.1,638,DD.m.1,186,DD.m.1,270,DD.m.1,195,DD.m.1,199,DD.m.1,211,DD.m.1,604,DD.m.1,212,DD.m.1,202,DD.m.1,206,DD.m.1,183,DD.m.1,135,DD.m.1,186,DD.m.1,215,DD.m.1,172,DD.m.1,164,DD.m.1,295,DD.m.1,498,DD.m.1,216,DD.m.1,204,DD.m.1,160,DD.m.1,178,DD.m.1,155,DD.m.1,178,DD.m.1,187,DD.m.1,221,DD.M.1,180,DD.m.1,873,DD.m.1,140,DD.m.1,819,DD.m.1,407
UD.m.1,92,UD.m.1,581,UD.m.1,85,UD.m.1,243,UD.m.1,211,UD.m.1,59,UD.m.1,71,UD.m.m,39,UD.m.1,290,UD.m.1,273,UD.m.1,159,UD.m.1,62,UD.m.1,68,UD.m.1,44,UD.m.1,74,UD.m.1,77,UD.m.1,135,UD.m.1,145,UD.m.1,64,UD.m.1,77,UD.m.1,61,UD.m.1,72,UD.m.1,107,UD.m.1,87,UD.m.1,46,UD.m.1,297,UD.m.1,37,UD.m.1,79,UD.m.1,37,UD.m.1,48,UD.m.1,61,UD.m.1,38,UD.m.1,33,UD.m.1,75,UD.m.1,509,UD.m.1,57,UD.m.1,141,UD.m.1,71,UD.m.1,92,UD.m.1,78,UD.m.1,481,UD.m.1,74,UD.m.1,79,UD.m.1,82,UD.m.1,45,UD.m.1,33,UD.m.1,52,UD.m.1,86,UD.m.1,38,UD.m.1,25,UD.m.1,152,UD.m.1,355,UD.m.1,56,UD.m.1,44,UD.m.1,26,UD.m.1,36,UD.m.1,5,UD.m.1,43,UD.m.1,53,UD.m.1,71,UD.M.1,56,UD.m.1,739,UD.m.1,32,UD.m.1,663,UD.m.1,262
H.1,92,H.1,96,H.1,112,H.1,112,H.1,86,H.1,91,H.1,113,H.m,188,H.1,117,H.1,97,H.1,101,H.1,97,H.1,101,H.1,101,H.1,95,H.1,96,H.1,113,H.1,102,H.1,85,H.1,91,H.1,80,H.1,96,H.1,104,H.1,91,H.1,101,H.1,112,H.1,128,H.1,110,H.1,102,H.1,91,H.1,108,H.1,102,H.1,106,H.1,95,H.1,96,H.1,97,H.1,74,H.1,80,H.1,86,H.1,63,H.1,123,H.1,102,H.1,101,H.1,96,H.1,97,H.1,91,H.1,86,H.1,112,H.1,101,H.1,107,H.1,107,H.1,117,H.1,91,H.1,107,H.1,122,H.1,86,H.1,101,H.1,80,H.1,101,H.1,128,H.1,128,H.1,75,H.1,91,H.1,111,H.1,112
DD.1.1,177,DD.1.1,170,DD.1.1,190,DD.1.1,165,DD.1.1,152,DD.1.1,145,DD.1.1,158,DD.m.Backspace,532,DD.1.1,169,DD.1.1,147,DD.1.1,167,DD.1.1,168,DD.1.1,179,DD.1.1,162,DD.1.1,150,DD.1.1,159,DD.1.1,195,DD.1.1,177,DD.1.1,151,DD.1.1,155,DD.1.1,150,DD.1.1,189,DD.1.1,172,DD.1.1,157,DD.1.1,175,DD.1.1,171,DD.1.1,204,DD.1.1,183,DD.1.1,178,DD.1.1,146,DD.1.1,171,DD.1.1,171,DD.1.1,176,DD.1.1,156,DD.1.1,151,DD.1.1,157,DD.1.1,151,DD.1.1,165,DD.1.1,162,DD.1.1,150,DD.1.1,172,DD.1.1,175,DD.1.1,178,DD.1.1,164,DD.1.1,166,DD.1.1,157,DD.1.1,222,DD.1.1,172,DD.1.1,166,DD.1.1,166,DD.1.1,190,DD.1.1,684,DD.1.1,168,DD.1.1,167,DD.1.1,469,DD.1.1,164,DD.1.1,188,DD.1.1,168,DD.1.1,173,DD.1.1,705,DD.1.1,196,DD.1.1,151,DD.1.1,178,DD.1.1,177,DD.1.1,247
UD.1.1,85,UD.1.1,74,UD.1.1,78,UD.1.1,53,UD.1.1,66,UD.1.1,54,UD.1.1,45,UD.m.Backspace,344,UD.1.1,52,UD.1.1,50,UD.1.1,66,UD.1.1,71,UD.1.1,78,UD.1.1,61,UD.1.1,55,UD.1.1,63,UD.1.1,82,UD.1.1,75,UD.1.1,66,UD.1.1,64,UD.1.1,70,UD.1.1,93,UD.1.1,68,UD.1.1,66,UD.1.1,74,UD.1.1,59,UD.1.1,76,UD.1.1,73,UD.1.1,76,UD.1.1,55,UD.1.1,63,UD.1.1,69,UD.1.1,70,UD.1.1,61,UD.1.1,55,UD.1.1,60,UD.1.1,77,UD.1.1,85,UD.1.1,76,UD.1.1,87,UD.1.1,49,UD.1.1,73,UD.1.1,77,UD.1.1,68,UD.1.1,69,UD.1.1,66,UD.1.1,136,UD.1.1,60,UD.1.1,65,UD.1.1,59,UD.1.1,83,UD.1.1,567,UD.1.1,77,UD.1.1,60,UD.1.1,347,UD.1.1,78,UD.1.1,87,UD.1.1,88,UD.1.1,72,UD.1.1,577,UD.1.1,68,UD.1.1,76,UD.1.1,87,UD.1.1,66,UD.1.1,135
H.1,101,H.1,107,H.1,107,H.1,101,H.1,97,H.1,102,H.1,112,H.Backspace,90,H.1,102,H.1,107,H.1,86,H.1,123,H.1,101,H.1,118,H.1,108,H.1,118,H.1,101,H.1,129,H.1,102,H.1,133,H.1,118,H.1,112,H.1,92,H.1,101,H.1,129,H.1,102,H.1,123,H.1,85,H.1,97,H.1,91,H.1,85,H.1,91,H.1,81,H.1,107,H.1,96,H.1,112,H.1,95,H.1,109,H.1,101,H.1,102,H.1,113,H.1,85,H.1,85,H.1,79,H.1,85,H.1,85,H.1,59,H.1,92,H.1,80,H.1,80,H.1,95,H.1,128,H.1,92,H.1,85,H.1,112,H.1,91,H.1,71,H.1,122,H.1,80,H.1,137,H.1,91,H.1,80,H.1,70,H.1,86,H.1,123
