H.A,145,H.A,134,H.A,134,H.A,129,H.A,112,H.A,135,H.A,134,H.a,86,H.A,128,H.a,91,H.A,150,H.A,124,H.A,150,H.A,140,H.A,123,H.A,161,H.A,139,H.A,144,H.A,166,H.A,124,H.A,145,H.A,145,H.A,134,H.A,144,H.A,145,H.A,149,H.A,165,H.A,155,H.A,162,H.A,149,H.A,149,H.A,144,H.A,135,H.A,134,H.A,170,H.A,161,H.A,154,H.A,165,H.A,169,H.A,155,H.A,166,H.A,182,H.A,166,H.A,172,H.A,195,H.A,165,H.A,149,H.A,154,H.A,149,H.A,166,H.A,160,H.A,183,H.A,167,H.A,145,H.A,172,H.A,160,H.A,187,H.A,160,H.A,150,H.A,150,H.A,138,H.A,160,H.A,128,H.A,129,H.A,140
DD.A.m,150,DD.A.m,151,DD.A.m,174,DD.A.m,280,DD.A.m,274,DD.A.m,290,DD.A.m,597,DD.a.m,163,DD.A.m,425,DD.a.m,256,DD.A.m,369,DD.A.m,417,DD.A.m,285,DD.A.m,304,DD.A.m,365,DD.A.m,310,DD.A.m,318,DD.A.m,330,DD.A.m,280,DD.A.m,270,DD.A.m,317,DD.A.m,229,DD.A.m,271,DD.A.m,279,DD.A.m,199,DD.A.m,279,DD.A.m,293,DD.A.m,254,DD.A.m,202,DD.A.m,235,DD.A.m,243,DD.A.m,270,DD.A.m,266,DD.A.m,250,DD.A.m,249,DD.A.m,339,DD.A.m,313,DD.A.m,313,DD.A.m,274,DD.A.m,293,DD.A.m,286,DD.A.m,303,DD.A.m,297,DD.A.m,277,DD.A.m,294,DD.A.m,280,DD.A.m,294,DD.A.m,270,DD.A.m,291,DD.A.m,309,DD.A.m,300,DD.A.m,293,DD.A.m,286,DD.A.m,285,DD.A.m,304,DD.A.m,303,DD.A.m,320,DD.A.m,306,DD.A.m,256,DD.A.m,335,DD.A.m,332,DD.A.m,176,DD.A.m,256,DD.A.m,301,DD.A.m,271
UD.A.m,5,UD.A.m,17,UD.A.m,40,UD.A.m,151,UD.A.m,162,UD.A.m,155,UD.A.m,463,UD.a.m,77,UD.A.m,297,UD.a.m,165,UD.A.m,219,UD.A.m,293,UD.A.m,135,UD.A.m,164,UD.A.m,242,UD.A.m,149,UD.A.m,179,UD.A.m,186,UD.A.m,114,UD.A.m,146,UD.A.m,172,UD.A.m,84,UD.A.m,137,UD.A.m,135,UD.A.m,54,UD.A.m,130,UD.A.m,128,UD.A.m,99,UD.A.m,40,UD.A.m,86,UD.A.m,94,UD.A.m,126,UD.A.m,131,UD.A.m,116,UD.A.m,79,UD.A.m,178,UD.A.m,159,UD.A.m,148,UD.A.m,105,UD.A.m,138,UD.A.m,120,UD.A.m,121,UD.A.m,131,UD.A.m,105,UD.A.m,99,UD.A.m,115,UD.A.m,145,UD.A.m,116,UD.A.m,142,UD.A.m,143,UD.A.m,140,UD.A.m,110,UD.A.m,119,UD.A.m,140,UD.A.m,132,UD.A.m,143,UD.A.m,133,UD.A.m,146,UD.A.m,106,UD.A.m,185,UD.A.m,194,UD.A.m,16,UD.A.m,128,UD.A.m,172,UD.A.m,131
H.m,92,H.m,68,H.m,80,H.m,89,H.m,96,H.m,90,H.m,90,H.m,96,H.m,102,H.m,91,H.m,90,H.m,96,H.m,97,H.m,96,H.m,107,H.m,102,H.m,97,H.m,80,H.m,107,H.m,107,H.m,114,H.m,108,H.m,101,H.m,102,H.m,96,H.m,113,H.m,107,H.m,101,H.m,91,H.m,102,H.m,102,H.m,102,H.m,102,H.m,107,H.m,96,H.m,105,H.m,107,H.m,128,H.m,101,H.m,102,H.m,104,H.m,113,H.m,101,H.m,107,H.m,101,H.m,107,H.m,109,H.m,101,H.m,112,H.m,120,H.m,86,H.m,107,H.m,112,H.m,102,H.m,107,H.m,97,H.m,120,H.m,150,H.m,102,H.m,113,H.m,102,H.m,97,H.m,102,H.m,96,H.m,101
DD.m.1,296,DD.m.1,537,DD.m.1,312,DD.m.1,238,DD.m.1,276,DD.m.1,258,DD.m.1,318,DD.m.1,419,DD.m.1,519,DD.m.1,966,DD.m.1,293,DD.m.1,263,DD.m.1,288,DD.m.1,329,DD.m.1,258,DD.m.1,256,DD.m.1,311,DD.m.1,217,DD.m.1,249,DD.m.1,237,DD.m.1,223,DD.m.1,216,DD.m.1,236,DD.m.1,225,DD.m.1,211,DD.m.1,230,DD.m.1,209,DD.m.1,190,DD.m.1,264,DD.m.1,171,DD.m.1,190,DD.m.1,210,DD.m.1,255,DD.m.1,191,DD.m.1,164,DD.m.1,219,DD.m.1,251,DD.m.1,243,DD.m.1,218,DD.m.1,213,DD.m.1,205,DD.m.1,218,DD.m.1,186,DD.m.1,194,DD.m.1,178,DD.m.1,190,DD.m.1,197,DD.m.1,207,DD.m.1,183,DD.m.1,207,DD.m.1,190,DD.m.1,223,DD.m.1,211,DD.m.1,239,DD.m.1,229,DD.m.1,214,DD.m.1,209,DD.m.1,493,DD.m.1,183,DD.m.1,229,DD.m.1,305,DD.m.1,235,DD.m.1,177,DD.m.1,165,DD.m.1,199
UD.m.1,204,UD.m.1,469,UD.m.1,232,UD.m.1,149,UD.m.1,180,UD.m.1,168,UD.m.1,228,UD.m.1,323,UD.m.1,417,UD.m.1,875,UD.m.1,203,UD.m.1,167,UD.m.1,191,UD.m.1,233,UD.m.1,151,UD.m.1,154,UD.m.1,214,UD.m.1,137,UD.m.1,142,UD.m.1,130,UD.m.1,109,UD.m.1,108,UD.m.1,135,UD.m.1,123,UD.m.1,115,UD.m.1,117,UD.m.1,102,UD.m.1,89,UD.m.1,173,UD.m.1,69,UD.m.1,88,UD.m.1,108,UD.m.1,153,UD.m.1,84,UD.m.1,68,UD.m.1,114,UD.m.1,144,UD.m.1,115,UD.m.1,117,UD.m.1,111,UD.m.1,101,UD.m.1,105,UD.m.1,85,UD.m.1,87,UD.m.1,77,UD.m.1,83,UD.m.1,88,UD.m.1,106,UD.m.1,71,UD.m.1,87,UD.m.1,104,UD.m.1,116,UD.m.1,99,UD.m.1,137,UD.m.1,122,UD.m.1,117,UD.m.1,89,UD.m.1,343,UD.m.1,81,UD.m.1,116,UD.m.1,203,UD.m.1,138,UD.m.1,75,UD.m.1,69,UD.m.1,98
H.1,84,H.1,80,H.1,70,H.1,75,H.1,64,H.1,75,H.1,75,H.1,69,H.1,124,H.1,75,H.1,75,H.1,75,H.1,75,H.1,69,H.1,80,H.1,75,H.1,69,H.1,75,H.1,75,H.1,69,H.1,80,H.1,74,H.1,70,H.1,74,H.1,75,H.1,75,H.1,80,H.1,80,H.1,75,H.1,86,H.1,85,H.1,81,H.1,76,H.1,76,H.1,80,H.1,75,H.1,77,H.1,70,H.1,76,H.1,75,H.1,74,H.1,76,H.1,81,H.1,75,H.1,82,H.1,81,H.1,82,H.1,80,H.1,80,H.1,81,H.1,86,H.1,80,H.1,75,H.1,69,H.1,70,H.1,76,H.1,81,H.1,80,H.1,80,H.1,74,H.1,85,H.1,85,H.1,81,H.1,86,H.1,75
DD.1.5,567,DD.1.1,171,DD.1.1,150,DD.1.1,276,DD.1.1,146,DD.1.1,142,DD.1.1,139,DD.1.1,109,DD.1.1,222,DD.1.1,126,DD.1.1,154,DD.1.1,142,DD.1.1,145,DD.1.1,145,DD.1.1,145,DD.1.1,143,DD.1.1,133,DD.1.1,138,DD.1.1,132,DD.1.1,152,DD.1.1,149,DD.1.1,152,DD.1.1,140,DD.1.1,140,DD.1.1,144,DD.1.1,148,DD.1.1,147,DD.1.1,140,DD.1.1,135,DD.1.1,143,DD.1.1,153,DD.1.1,139,DD.1.1,149,DD.1.1,149,DD.1.1,237,DD.1.1,153,DD.1.1,136,DD.1.1,150,DD.1.1,152,DD.1.1,135,DD.1.1,134,DD.1.1,133,DD.1.1,145,DD.1.1,122,DD.1.1,155,DD.1.1,135,DD.1.1,140,DD.1.1,142,DD.1.1,149,DD.1.1,140,DD.1.1,155,DD.1.1,137,DD.1.1,146,DD.1.1,126,DD.1.1,131,DD.1.1,141,DD.1.1,135,DD.1.1,151,DD.1.1,152,DD.1.1,139,DD.1.1,153,DD.1.1,156,DD.1.1,137,DD.1.1,235,DD.1.1,135
UD.1.5,483,UD.1.1,91,UD.1.1,80,UD.1.1,201,UD.1.1,82,UD.1.1,67,UD.1.1,64,UD.1.1,40,UD.1.1,98,UD.1.1,51,UD.1.1,79,UD.1.1,67,UD.1.1,70,UD.1.1,76,UD.1.1,65,UD.1.1,68,UD.1.1,64,UD.1.1,63,UD.1.1,57,UD.1.1,83,UD.1.1,69,UD.1.1,78,UD.1.1,70,UD.1.1,66,UD.1.1,69,UD.1.1,73,UD.1.1,67,UD.1.1,60,UD.1.1,60,UD.1.1,57,UD.1.1,68,UD.1.1,58,UD.1.1,73,UD.1.1,73,UD.1.1,157,UD.1.1,78,UD.1.1,59,UD.1.1,80,UD.1.1,76,UD.1.1,60,UD.1.1,60,UD.1.1,57,UD.1.1,64,UD.1.1,47,UD.1.1,73,UD.1.1,54,UD.1.1,58,UD.1.1,62,UD.1.1,69,UD.1.1,59,UD.1.1,69,UD.1.1,57,UD.1.1,71,UD.1.1,57,UD.1.1,61,UD.1.1,65,UD.1.1,54,UD.1.1,71,UD.1.1,72,UD.1.1,65,UD.1.1,68,UD.1.1,71,UD.1.1,56,UD.1.1,149,UD.1.1,60
H.5,75,H.1,75,H.1,81,H.1,75,H.1,80,H.1,81,H.1,91,H.1,92,H.1,80,H.1,85,H.1,92,H.1,86,H.1,91,H.1,86,H.1,85,H.1,92,H.1,91,H.1,96,H.1,115,H.1,89,H.1,97,H.1,86,H.1,92,H.1,97,H.1,100,H.1,91,H.1,96,H.1,97,H.1,95,H.1,90,H.1,91,H.1,97,H.1,91,H.1,97,H.1,86,H.1,92,H.1,101,H.1,86,H.1,90,H.1,115,H.1,98,H.1,102,H.1,97,H.1,97,H.1,96,H.1,91,H.1,101,H.1,96,H.1,95,H.1,97,H.1,90,H.1,96,H.1,92,H.1,96,H.1,102,H.1,91,H.1,103,H.1,91,H.1,91,H.1,93,H.1,91,H.1,91,H.1,91,H.1,91,H.1,91
