H.A,95,H.A,123,H.A,149,H.A,145,H.A,122,H.A,91,H.A,132,H.R,116,H.A,123,H.A,107,H.A,107,H.A,129,H.A,107,H.A,118,H.A,113,H.A,123,H.A,128,H.A,135,H.A,160,H.A,123,H.A,134,H.A,134,H.m,91,H.A,129,H.A,149,H.A,135,H.A,134,H.A,171,H.A,125,H.A,141,H.A,147,H.A,155,H.A,134,H.A,138,H.A,129,H.A,145,H.A,129,H.A,161,H.A,156,H.A,145,H.A,166,H.A,162,H.A,144,H.A,139,H.A,156,H.A,150,H.A,134,H.A,169,H.A,139,H.A,145,H.A,0,H.A,156,H.A,139,H.A,162,H.A,166,H.A,144,H.A,144,H.A,160,H.A,172,H.A,165,H.A,188,H.A,161,H.A,160,H.A,150,H.A,142
DD.A.M,95,DD.A.m,254,DD.A.m,333,DD.A.m,322,DD.A.m,250,DD.A.m,224,DD.A.m,316,DD.R.Backspace,530,DD.A.m,219,DD.A.m,234,DD.A.m,232,DD.A.m,226,DD.A.m,246,DD.A.m,241,DD.A.m,245,DD.A.m,244,DD.A.m,275,DD.A.m,242,DD.A.m,244,DD.A.m,253,DD.A.m,268,DD.A.m,239,DD.m.1,199,DD.A.m,349,DD.A.m,433,DD.A.m,283,DD.A.m,277,DD.A.m,274,DD.A.m,359,DD.A.1,516,DD.A.m,285,DD.A.m,243,DD.A.m,251,DD.A.m,255,DD.A.m,245,DD.A.m,245,DD.A.m,300,DD.A.m,288,DD.A.m,275,DD.A.m,251,DD.A.m,283,DD.A.m,270,DD.A.m,243,DD.A.m,221,DD.A.m,235,DD.A.m,283,DD.A.m,294,DD.A.m,274,DD.A.m,286,DD.A.m,254,DD.A.m,702,DD.A.m,285,DD.A.m,246,DD.A.m,242,DD.A.m,275,DD.A.m,252,DD.A.m,350,DD.A.m,281,DD.A.m,229,DD.A.m,253,DD.A.m,329,DD.A.m,258,DD.A.m,289,DD.A.m,256,DD.A.m,245
UD.A.M,0,UD.A.m,131,UD.A.m,184,UD.A.m,177,UD.A.m,128,UD.A.m,133,UD.A.m,184,UD.R.Backspace,414,UD.A.m,96,UD.A.m,127,UD.A.m,125,UD.A.m,97,UD.A.m,139,UD.A.m,123,UD.A.m,132,UD.A.m,121,UD.A.m,147,UD.A.m,107,UD.A.m,84,UD.A.m,130,UD.A.m,134,UD.A.m,105,UD.m.1,108,UD.A.m,220,UD.A.m,284,UD.A.m,148,UD.A.m,143,UD.A.m,103,UD.A.m,234,UD.A.1,375,UD.A.m,138,UD.A.m,88,UD.A.m,117,UD.A.m,117,UD.A.m,116,UD.A.m,100,UD.A.m,171,UD.A.m,127,UD.A.m,119,UD.A.m,106,UD.A.m,117,UD.A.m,108,UD.A.m,99,UD.A.m,82,UD.A.m,79,UD.A.m,133,UD.A.m,160,UD.A.m,105,UD.A.m,147,UD.A.m,109,UD.A.m,702,UD.A.m,129,UD.A.m,107,UD.A.m,80,UD.A.m,109,UD.A.m,108,UD.A.m,206,UD.A.m,121,UD.A.m,57,UD.A.m,88,UD.A.m,141,UD.A.m,97,UD.A.m,129,UD.A.m,106,UD.A.m,103
H.M,0,H.m,101,H.m,113,H.m,107,H.m,101,H.m,107,H.m,80,H.Backspace,106,H.m,118,H.m,107,H.m,95,H.m,103,H.m,112,H.m,113,H.m,101,H.m,74,H.m,86,H.m,113,H.m,96,H.m,97,H.m,97,H.m,85,H.1,69,H.m,108,H.m,123,H.m,108,H.m,92,H.m,108,H.m,125,H.1,78,H.m,118,H.m,114,H.m,133,H.m,123,H.m,102,H.m,112,H.m,111,H.m,96,H.m,108,H.m,108,H.m,123,H.m,97,H.m,119,H.m,101,H.m,103,H.m,112,H.m,97,H.m,107,H.m,96,H.m,102,H.m,97,H.m,101,H.m,107,H.m,96,H.m,103,H.m,91,H.m,130,H.m,96,H.m,101,H.m,112,H.m,98,H.m,118,H.m,107,H.m,107,H.m,97
DD.M.A,1,DD.m.1,225,DD.m.1,260,DD.m.1,326,DD.m.1,150,DD.m.1,312,DD.m.1,153,DD.Backspace.A,237,DD.m.1,398,DD.m.1,264,DD.m.1,136,DD.m.1,358,DD.m.1,171,DD.m.1,151,DD.m.1,145,DD.m.1,110,DD.m.1,317,DD.m.1,170,DD.m.1,101,DD.m.1,140,DD.m.1,182,DD.m.1,158,DD.1.1,137,DD.m.1,317,DD.m.1,388,DD.m.1,196,DD.m.1,158,DD.m.1,163,DD.m.1,297,DD.1.Backspace,640,DD.m.1,166,DD.m.1,189,DD.m.1,177,DD.m.1,196,DD.m.1,132,DD.m.1,175,DD.m.1,297,DD.m.1,139,DD.m.1,118,DD.m.1,152,DD.m.1,134,DD.m.1,124,DD.m.1,124,DD.m.1,157,DD.m.1,108,DD.m.1,193,DD.m.1,170,DD.m.1,176,DD.m.1,172,DD.m.1,112,DD.m.1,212,DD.m.1,160,DD.m.1,167,DD.m.1,171,DD.m.1,169,DD.m.1,123,DD.m.1,264,DD.m.1,136,DD.m.1,214,DD.m.1,118,DD.m.1,175,DD.m.1,183,DD.m.1,214,DD.m.1,133,DD.m.1,128
UD.M.A,1,UD.m.1,124,UD.m.1,147,UD.m.1,219,UD.m.1,49,UD.m.1,205,UD.m.1,73,UD.Backspace.A,131,UD.m.1,280,UD.m.1,157,UD.m.1,41,UD.m.1,255,UD.m.1,59,UD.m.1,38,UD.m.1,44,UD.m.1,36,UD.m.1,231,UD.m.1,57,UD.m.1,5,UD.m.1,43,UD.m.1,85,UD.m.1,73,UD.1.1,68,UD.m.1,209,UD.m.1,265,UD.m.1,88,UD.m.1,66,UD.m.1,55,UD.m.1,172,UD.1.Backspace,562,UD.m.1,48,UD.m.1,75,UD.m.1,44,UD.m.1,73,UD.m.1,30,UD.m.1,63,UD.m.1,186,UD.m.1,43,UD.m.1,10,UD.m.1,44,UD.m.1,11,UD.m.1,27,UD.m.1,5,UD.m.1,56,UD.m.1,5,UD.m.1,81,UD.m.1,73,UD.m.1,69,UD.m.1,76,UD.m.1,10,UD.m.1,115,UD.m.1,59,UD.m.1,60,UD.m.1,75,UD.m.1,66,UD.m.1,32,UD.m.1,134,UD.m.1,40,UD.m.1,113,UD.m.1,6,UD.m.1,77,UD.m.1,65,UD.m.1,107,UD.m.1,26,UD.m.1,31
H.A,0,H.1,81,H.1,102,H.1,43,H.1,81,H.1,81,H.1,80,H.A,140,H.1,74,H.1,75,H.1,63,H.1,97,H.1,48,H.1,64,H.1,82,H.1,71,H.1,81,H.1,81,H.1,87,H.1,65,H.1,76,H.1,70,H.1,107,H.1,54,H.1,101,H.1,97,H.1,81,H.1,90,H.1,62,H.Backspace,110,H.1,92,H.1,102,H.1,91,H.1,59,H.1,65,H.1,90,H.1,85,H.1,85,H.1,65,H.1,80,H.1,107,H.1,94,H.1,80,H.1,80,H.1,87,H.1,86,H.1,85,H.1,91,H.1,91,H.1,91,H.1,97,H.1,42,H.1,96,H.1,80,H.1,43,H.1,70,H.1,85,H.1,97,H.1,91,H.1,107,H.1,91,H.1,75,H.1,69,H.1,97,H.1,69
DD.A.M,0,DD.1.1,143,DD.1.1,234,DD.1.1,101,DD.1.1,190,DD.1.1,142,DD.1.1,144,DD.A.m,263,DD.1.1,138,DD.1.1,131,DD.1.1,125,DD.1.1,146,DD.1.1,178,DD.1.1,133,DD.1.1,131,DD.1.1,130,DD.1.1,156,DD.1.1,151,DD.1.1,158,DD.1.1,140,DD.1.1,154,DD.1.1,140,DD.1.5,195,DD.1.1,122,DD.1.1,148,DD.1.1,152,DD.1.1,169,DD.1.1,164,DD.1.1,125,DD.Backspace.m,235,DD.1.1,151,DD.1.1,153,DD.1.1,144,DD.1.1,124,DD.1.1,161,DD.1.1,152,DD.1.1,142,DD.1.1,149,DD.1.1,180,DD.1.1,147,DD.1.1,161,DD.1.1,145,DD.1.1,138,DD.1.1,136,DD.1.1,159,DD.1.1,144,DD.1.1,139,DD.1.1,139,DD.1.1,168,DD.1.1,181,DD.1.1,158,DD.1.1,121,DD.1.1,170,DD.1.1,145,DD.1.1,94,DD.1.1,136,DD.1.1,135,DD.1.1,163,DD.1.1,139,DD.1.5,191,DD.1.1,142,DD.1.1,139,DD.1.1,143,DD.1.1,144,DD.1.1,121
UD.A.M,0,UD.1.1,62,UD.1.1,132,UD.1.1,58,UD.1.1,109,UD.1.1,61,UD.1.1,64,UD.A.m,123,UD.1.1,64,UD.1.1,56,UD.1.1,62,UD.1.1,49,UD.1.1,130,UD.1.1,69,UD.1.1,49,UD.1.1,59,UD.1.1,75,UD.1.1,70,UD.1.1,71,UD.1.1,75,UD.1.1,78,UD.1.1,70,UD.1.5,88,UD.1.1,68,UD.1.1,47,UD.1.1,55,UD.1.1,88,UD.1.1,74,UD.1.1,63,UD.Backspace.m,125,UD.1.1,59,UD.1.1,51,UD.1.1,53,UD.1.1,65,UD.1.1,96,UD.1.1,62,UD.1.1,57,UD.1.1,64,UD.1.1,115,UD.1.1,67,UD.1.1,54,UD.1.1,51,UD.1.1,58,UD.1.1,56,UD.1.1,72,UD.1.1,58,UD.1.1,54,UD.1.1,48,UD.1.1,77,UD.1.1,90,UD.1.1,61,UD.1.1,79,UD.1.1,74,UD.1.1,65,UD.1.1,51,UD.1.1,66,UD.1.1,50,UD.1.1,66,UD.1.1,48,UD.1.5,84,UD.1.1,51,UD.1.1,64,UD.1.1,74,UD.1.1,47,UD.1.1,52
H.M,0,H.1,113,H.1,75,H.1,113,H.1,63,H.1,114,H.1,106,H.m,97,H.1,96,H.1,107,H.1,102,H.1,101,H.1,97,H.1,97,H.1,102,H.1,96,H.1,114,H.1,92,H.1,91,H.1,96,H.1,47,H.1,101,H.5,92,H.1,86,H.1,107,H.1,97,H.1,69,H.1,60,H.1,94,H.m,94,H.1,44,H.1,80,H.1,97,H.1,90,H.1,86,H.1,94,H.1,113,H.1,97,H.1,86,H.1,70,H.1,85,H.1,112,H.1,91,H.1,113,H.1,101,H.1,86,H.1,69,H.1,118,H.1,64,H.1,54,H.1,70,H.1,123,H.1,86,H.1,118,H.1,91,H.1,97,H.1,108,H.1,89,H.1,102,H.5,54,H.1,102,H.1,75,H.1,107,H.1,97,H.1,118
